WKT,name,description
"LINESTRING (-159.76400756835938 -18.830900192260742, -159.805999756 -21.2026996613)",AIT <-> RAR,
"LINESTRING (44.430301666259766 -12.131699562072754, 43.2719 -11.5337, 43.76639938354492 -12.298100471496582, 43.2719 -11.5337)",AJN <-> HAH,
"LINESTRING (174.792007446 -37.008098602299995, -172.00799560546875 -13.829999923706055, 174.792007446 -37.008098602299995, 172.53199768066406 -43.48939895629883, 170.197998046875 -45.9281005859375, 172.53199768066406 -43.48939895629883, 170.98500061035156 -42.713600158691406, 172.53199768066406 -43.48939895629883, 168.31300354003906 -46.41239929199219, 172.53199768066406 -43.48939895629883, 169.24600219727 -44.722198486328, 172.53199768066406 -43.48939895629883, 174.792007446 -37.008098602299995, 177.97799682617188 -38.663299560546875, 174.792007446 -37.008098602299995, -169.92559814453125 -19.079030990600586, 174.792007446 -37.008098602299995, 173.91200256347656 -35.26279830932617, 174.792007446 -37.008098602299995, 167.93899536132812 -29.04159927368164, 174.792007446 -37.008098602299995, 176.869995 -39.465801, 174.792007446 -37.008098602299995, 174.1790008544922 -39.00859832763672, 174.792007446 -37.008098602299995, 175.61700439453125 -40.32059860229492, 174.792007446 -37.008098602299995, 174.98899841308594 -40.904701232910156, 174.792007446 -37.008098602299995, 176.1959991455078 -37.67190170288086, 174.792007446 -37.008098602299995, 176.08399963378906 -38.73970031738281, 174.792007446 -37.008098602299995, 175.02499389648438 -39.96220016479492, 174.792007446 -37.008098602299995, 176.91400146484375 -37.92060089111328, 174.792007446 -37.008098602299995, 174.36500549316406 -35.7682991027832, 174.792007446 -37.008098602299995, 168.738998413 -45.0210990906, 174.792007446 -37.008098602299995, 174.804992676 -41.3272018433, 173.8699951171875 -41.5182991027832, 174.804992676 -41.3272018433, -176.45700073242188 -43.810001373291016, 174.804992676 -41.3272018433, 175.332000732 -37.8666992188, 174.804992676 -41.3272018433, 173.2209930419922 -41.298301696777344, 174.804992676 -41.3272018433, 173.95599365234 -41.346099853516, 174.804992676 -41.3272018433, 176.31700134277344 -38.10919952392578, 174.804992676 -41.3272018433, 171.22500610351562 -44.302799224853516, 174.804992676 -41.3272018433, 171.58099365234375 -41.73809814453125, 174.804992676 -41.3272018433)",AKL <-> WLG,
"LINESTRING (-76.7164 7.81196, -75.590582 6.220549, -77.3947 6.20292, -75.590582 6.220549, -75.4647 5.0296, -75.590582 6.220549, -77.2806 5.6964, -75.590582 6.220549, -75.5854 9.50945, -75.590582 6.220549, -76.6412 5.69076, -75.590582 6.220549)",APO <-> EOH,
"LINESTRING (-145.578995 68.1147, -146.365997314 67.0086975098)",ARC <-> VEE,
"LINESTRING (23.9444999695 37.9364013672, 27.145999908447266 35.4213981628418, 26.909999847399998 35.4213981628, 27.145999908447266 35.4213981628418, 23.9444999695 37.9364013672, 25.956300735473633 40.855899810791016, 23.9444999695 37.9364013672, 19.911699295043945 39.601898193359375, 23.9444999695 37.9364013672, 24.149700164794922 35.531700134277344, 23.9444999695 37.9364013672, 20.500499725341797 38.12009811401367, 23.9444999695 37.9364013672, 25.180299758900002 35.3396987915, 1.721111 46.860278, 25.180299758900002 35.3396987915, 23.9444999695 37.9364013672, 20.822500228881836 39.6963996887207, 23.9444999695 37.9364013672, 26.3470993042 37.6827011108, 23.9444999695 37.9364013672, 26.140600204467773 38.34320068359375, 23.9444999695 37.9364013672, 26.9405994415 36.9632987976, 23.9444999695 37.9364013672, 25.348100662231445 37.43510055541992, 23.9444999695 37.9364013672, 25.3680992126 37.0811004639, 23.9444999695 37.9364013672, 26.101299285888672 35.21609878540039, 23.9444999695 37.9364013672, 23.503700256347656 39.177101135253906, 23.9444999695 37.9364013672, 24.950899124099998 37.4227981567, 23.9444999695 37.9364013672, 26.3757991791 36.5798988342, 23.9444999695 37.9364013672, 27.091699600219727 36.79330062866211, 23.9444999695 37.9364013672, 23.0170001984 36.2742996216, 23.9444999695 37.9364013672, 21.2821998596 40.4463005066, 21.84079933166504 40.28609848022461, 21.2821998596 40.4463005066, 23.9444999695 37.9364013672, 24.619199752807617 40.913299560546875, 23.9444999695 37.9364013672, 33.624900817871094 34.875099182128906, 23.9444999695 37.9364013672, 26.800301 37.184898, 23.9444999695 37.9364013672, 25.236299514799995 39.917098999, 23.9444999695 37.9364013672, 26.5983009338 39.0567016602, 23.9444999695 37.9364013672, 24.4769 36.696899, 23.9444999695 37.9364013672, 25.113195 37.020495, 23.9444999695 37.9364013672, 28.086200714111328 36.405399322509766, 29.576400756799995 36.1417007446, 28.086200714111328 36.405399322509766, 23.9444999695 37.9364013672, 22.97089958190918 40.51969909667969, 22.02549934387207 37.06829833984375, 22.97089958190918 40.51969909667969, 23.9444999695 37.9364013672, 24.4871997833 38.9676017761, 23.9444999695 37.9364013672, 26.911699295043945 37.689998626708984, 23.9444999695 37.9364013672, 20.8843 37.7509, 23.9444999695 37.9364013672, 25.479299545288086 36.399200439453125)",ATH <-> JTR,
"LINESTRING (-70.015198 12.5014, -68.959801 12.1889, -68.26850128173828 12.130999565124512, -68.959801 12.1889)",AUA <-> CUR,
"LINESTRING (169.6009 -19.2346, 170.231994629 -19.516399383499998)",AWD <-> FTA,
"LINESTRING (30.800501 36.898701, 29.3092002869 40.898601532, 27.6643009186 37.25059890749999, 29.3092002869 40.898601532, 28.7924995422 36.7131004333, 29.3092002869 40.898601532, 33.49610137939453 35.154701232910156, 29.3092002869 40.898601532, 27.0137996674 39.554599762, 29.3092002869 40.898601532, 39.2914009094 38.6068992615, 29.3092002869 40.898601532, 38.080994 40.966047, 29.3092002869 40.898601532, 36.567101 41.254501, 29.3092002869 40.898601532, 39.78969955444336 40.99509811401367, 30.08329963684082 40.73500061035156, 39.78969955444336 40.99509811401367, 29.3092002869 40.898601532, 43.332298278808594 38.46820068359375, 29.3092002869 40.898601532, 36.9035 39.813801, 29.3092002869 40.898601532)",AYT <-> SAW,
"LINESTRING (-111.6549988 33.30780029, -94.05989837646484 45.546600341796875, -111.6549988 33.30780029, -111.72299957275 40.219200134277)",AZA <-> PVU,
