WKT,name,description
"LINESTRING (-74.57720184326172 39.45759963989258, -75.44080352783203 40.652099609375)",ACY -> ABE,94.32627355236451 mi
"LINESTRING (61.54389953613281 31.09830093383789, 55.60919952392578 24.261699676513672)",ACZ -> AAN,595.5505152278903 mi
"LINESTRING (35.280399322499996 36.9822006226, 33.8358001709 31.073299408)",ADA -> AAC,416.5488813073083 mi
"LINESTRING (27.156999588 38.2924003601, 33.8358001709 31.073299408)",ADB -> AAC,626.3214789094009 mi
"LINESTRING (38.799301147499996 8.97789001465, 44.252998 6.734)",ADD -> ABK,404.17289530984544 mi
"LINESTRING (45.02880096435547 12.829500198364258, 44.252998 6.734)",ADE -> ABK,424.4594770423709 mi
"LINESTRING (38.4688987732 37.7313995361, 35.280399322499996 36.9822006226)",ADF -> ADA,182.5951035831266 mi
"LINESTRING (125.40899658203125 58.60279846191406, 90.57080078125 56.2682991027832)",ADH -> ACS,1290.7148709826938 mi
"LINESTRING (14.979999542236328 -22.462200164794922, 31.544599533081055 -24.818099975585938)",ADI -> AAM,1060.331856210694 mi
"LINESTRING (35.991600036621094 31.972700119018555, 33.8358001709 31.073299408)",ADJ -> AAC,141.35938047548842 mi
"LINESTRING (-176.64599609375 51.87799835205078, -157.856989 67.1063)",ADK -> ABL,1230.3968397142312 mi
"LINESTRING (138.531006 -34.945, 146.95799255371094 -36.06779861450195)",ADL -> ABX,480.13056472714453 mi
"LINESTRING (-97.0196342 34.30301, -97.23049926757812 31.611299514770508)",ADM -> ACT,186.38248572294177 mi
"LINESTRING (81.62594 7.33776, 80.42790222170001 8.30148983002)",ADP -> ACJ,105.63637471875374 mi
"LINESTRING (-152.4940033 57.75, -157.856989 67.1063)",ADQ -> ABL,668.2298251697061 mi
"LINESTRING (-96.8364028931 32.9686012268, -97.0196342 34.30301)",ADS -> ADM,92.80026244541817 mi
"LINESTRING (-96.671303 34.804298, -97.0196342 34.30301)",ADT -> ADM,39.90689262072658 mi
"LINESTRING (48.4244003296 38.3256988525, 46.127899169921875 37.347999572753906)",ADU -> ACP,142.3567041764301 mi
"LINESTRING (-76.866997 38.810799, -74.57720184326172 39.45759963989258)",ADW -> ACY,130.5988748575919 mi
"LINESTRING (-2.8684399127960205 56.37289810180664, -2.197779893875122 57.201900482177734)",ADX -> ABZ,62.65019728815281 mi
"LINESTRING (29.0555000305 -22.6790008545, 31.544599533081055 -24.818099975585938)",ADY -> AAM,215.91691196080095 mi
"LINESTRING (-81.7112 12.5836, -77.3 8.51667)",ADZ -> ACD,410.7307678691032 mi
"LINESTRING (173.82899475097656 0.49083301424980164, 173.63699340820312 0.1852779984474182)",AEA -> AAK,24.933972043312096 mi
"LINESTRING (106.959999084 23.7206001282, 104.959444444 25.0863888889)",AEB -> ACX,157.31774886902835 mi
"LINESTRING (99.430496 1.4001, 81.62594 7.33776)",AEG -> ADP,1292.8463742148783 mi
"LINESTRING (20.84429931640625 13.847000122070312, 31.611700058 22.375999450699997)",AEH -> ABS,919.7331377731598 mi
"LINESTRING (-5.441118 36.12888, -1.8635200262099998 38.9485015869)",AEI -> ABC,276.3106107001681 mi
"LINESTRING (-9.637880325317383 16.711299896240234, -3.9262900352478027 5.261390209197998)",AEO -> ABJ,880.5644886778483 mi
"LINESTRING (-58.4156 -34.5592, -46.960399627686 -19.563199996948)",AEP -> AAX,1250.9793162529677 mi
"LINESTRING (39.9566 43.449902, 37.347301483154 45.002101898193)",AER -> AAQ,167.8914139214523 mi
"LINESTRING (6.119699954986572 62.5625, 9.84924316406 57.0927589138)",AES -> AAL,399.3402430250693 mi
"LINESTRING (-152.621994019 66.5518035889, -157.856989 67.1063)",AET -> ABL,147.33987211654363 mi
"LINESTRING (55.033001 25.8757, 55.60919952392578 24.261699676513672)",AEU -> AAN,117.20297800171689 mi
"LINESTRING (-92.54979705810547 31.32740020751953, -95.58830261230001 29.722499847399998)",AEX -> AAP,212.1213773391233 mi
"LINESTRING (-18.07270050048828 65.66000366210938, 6.119699954986572 62.5625)",AEY -> AES,755.189596846604 mi
"LINESTRING (-68.4039 -34.588299, -58.4156 -34.5592)",AFA -> AEP,568.0240637881966 mi
"LINESTRING (-56.1049995422 -9.8663892746, -46.960399627686 -19.563199996948)",AFL -> AAX,906.2133780751237 mi
"LINESTRING (64.23320007324219 41.61389923095703, 61.54389953613281 31.09830093383789)",AFS -> ACZ,741.7039711173852 mi
"LINESTRING (160.948611111 -9.19138888889, 173.63699340820312 0.1852779984474182)",AFT -> AAK,1087.1209609960517 mi
"LINESTRING (-97.31880187990001 32.9875984192, -97.0196342 34.30301)",AFW -> ADM,92.50169661758672 mi
"LINESTRING (30.6011009216 38.726398468, 27.156999588 38.2924003601)",AFY -> ADB,188.59767547824126 mi
"LINESTRING (57.59519958496094 36.16809844970703, 61.54389953613281 31.09830093383789)",AFZ -> ACZ,417.399316846182 mi
"LINESTRING (-9.413069725036621 30.325000762939453, -13.6052 28.945499)",AGA -> ACE,269.1772305618398 mi
"LINESTRING (10.931667 48.425278, 9.560770034789998 47.4850006104)",AGB -> ACH,90.79842737190728 mi
"LINESTRING (-79.9301986694336 40.354400634765625, -75.44080352783203 40.652099609375)",AGC -> ABE,236.72843824017826 mi
"LINESTRING (7.913888931274414 53.782779693603516, 10.619000434899998 56.2999992371)",AGE -> AAR,204.21713143719901 mi
"LINESTRING (0.5905560255050659 44.17470169067383, -2.21472 49.706104)",AGF -> ACI,404.3737459772295 mi
"LINESTRING (12.847100257873535 56.29610061645508, 10.619000434899998 56.2999992371)",AGH -> AAR,85.41854759659743 mi
"LINESTRING (-56.673328 5.841128, -54.05009841918945 5.512720108032227)",AGI -> ABN,181.78209414598376 mi
"LINESTRING (127.240997314 26.5925006866, 106.959999084 23.7206001282)",AGJ -> AEB,1282.3987290072375 mi
"LINESTRING (-134.585007 57.503601, -124.109 40.978101)",AGN -> ACV,1232.4240990588187 mi
"LINESTRING (-4.499110221862793 36.67490005493164, -5.441118 36.12888)",AGP -> AEI,64.55717384085672 mi
"LINESTRING (21.3512001 38.602001, 27.156999588 38.2924003601)",AGQ -> ADB,314.8449236334657 mi
"LINESTRING (77.96089935302734 27.155799865722656, 61.54389953613281 31.09830093383789)",AGR -> ACZ,1026.49234574458 mi
"LINESTRING (-81.9645004272461 33.36989974975586, -85.02749634 29.72750092)",AGS -> AAF,309.5789744269412 mi
"LINESTRING (-54.842682 -25.454516, -46.960399627686 -19.563199996948)",AGT -> AAX,646.8671857284678 mi
"LINESTRING (-102.318001 21.705601, -99.75399780273438 16.757099151611328)",AGU -> ACA,380.60407992612943 mi
"LINESTRING (-69.23786926269531 9.553375244140625, -64.4707260131836 9.430225372314453)",AGV -> AAO,324.98074958502065 mi
"LINESTRING (72.1760025024414 10.823699951171875, 80.42790222170001 8.30148983002)",AGX -> ACJ,588.5640762418196 mi
"LINESTRING (18.813899993896484 -29.28179931640625, 14.979999542236328 -22.462200164794922)",AGZ -> ADI,527.9352927192717 mi
"LINESTRING (42.65660095210001 18.240400314299997, 41.6343002319 20.2961006165)",AHB -> ABT,156.90686174484392 mi
"LINESTRING (-146.2570037841797 -14.428099632263184, -145.50999450683594 -17.35260009765625)",AHE -> AAA,208.0725240389881 mi
"LINESTRING (102.35224 32.53154, 104.959444444 25.0863888889)",AHJ -> ACX,538.0254331317057 mi
"LINESTRING (-83.32630157470703 33.94860076904297, -84.19450378417969 31.535499572753906)",AHN -> ABY,174.19597143340374 mi
"LINESTRING (8.29077 40.632099, 7.809174 36.822201)",AHO -> AAE,264.5169530709566 mi
"LINESTRING (-84.352203 15.4722, -81.7112 12.5836)",AHS -> ADZ,266.7728008930152 mi
"LINESTRING (-3.83951997756958 35.177101135253906, -4.499110221862793 36.67490005493164)",AHU -> AGP,109.87140444911007 mi
"LINESTRING (-102.804000854 42.0531997681, -98.42179870605469 45.449100494384766)",AIA -> ABR,320.6672790405771 mi
"LINESTRING (-85.6129989624 40.10860061649999, -79.9301986694336 40.354400634765625)",AID -> AGC,300.1923473778996 mi
"LINESTRING (-81.684998 33.649399, -81.9645004272461 33.36989974975586)",AIK -> AGS,25.144034193962508 mi
"LINESTRING (-159.994995117 70.6380004883, -157.856989 67.1063)",AIN -> ABL,249.7230639452732 mi
"LINESTRING (75.758797 31.4338, 77.96089935302734 27.155799865722656)",AIP -> AGR,323.97764158034505 mi
"LINESTRING (-59.457273 -10.188278, -56.1049995422 -9.8663892746)",AIR -> AFL,229.16469466318418 mi
"LINESTRING (176.80299377441406 -2.61611008644104, 173.63699340820312 0.1852779984474182)",AIS -> AAK,292.03862617976887 mi
"LINESTRING (-159.76400756835938 -18.830900192260742, -145.50999450683594 -17.35260009765625)",AIT -> AAA,941.4654534649678 mi
"LINESTRING (-158.11900329589844 -19.96780014038086, -159.76400756835938 -18.830900192260742)",AIU -> AIT,132.90358368315952 mi
"LINESTRING (-92.54949951170002 38.0960006714, -96.671303 34.804298)",AIZ -> ADT,322.73682849597594 mi
"LINESTRING (8.8029203414917 41.92359924316406, 8.29077 40.632099)",AJA -> AHO,93.11291589736867 mi
"LINESTRING (40.099998474121094 29.78510093688965, 35.991600036621094 31.972700119018555)",AJF -> ADJ,286.6703786240011 mi
