Code,Location,Parent,Children
CMN,Casablanca,ORY,[AGA; BEM; ERH; ESU; EUN; NDR; OZG; OZZ; RAK; TTA; UAR; VIL]
CMW,Camaguey Cuba,PAP,N/A
CMX,Hancock United States,ORD,N/A
CNC,Australia,SYU,N/A
CND,Constanta Romania,IST,N/A
CNF,Belo Horizonte Brazil,CGH,[CFB; CKS; GVR; IPN; MOC; TXF; UBA; VAG; VAL]
CNJ,Australia,TSV,N/A
CNM,Carlsbad United States,ABQ,N/A
CNN,India,TRV,N/A
CNP,Ittoqqortoormiit Greenland,OBY,[OBY]
CNQ,Argentina,AEP,N/A
CNS,Australia,BNE,[ABM; AUU; CTN; EDR; HID; KWM; NTN; WEI]
CNX,Thailand,DMK,[DMK; HGN; UTP]
CNY,Moab United States,DEN,N/A
COD,Cody United States,DEN,N/A
COK,Kochi India,BLR,[AGX]
COL,United Kingdom,OBN,[OBN]
COO,Benin,ABJ,[PKO]
COQ,Mongolia,ULN,N/A
COR,Cordoba,AEP,[AEP]
COS,s Muni (COS) is a mid-sized airport in United States,DEN,N/A
COU,United States,ORD,N/A
CPC,De Los Andes (CPC) is a smaller airport in Argentina,AEP,N/A
CPD,Australia,PUG,N/A
CPE,Campeche Mexico,MEX,N/A
CPH,Copenhagen,OSL,[AAL; AAR; FAE; KEF; KRP; RNN; SGD]
CPO,Copiapo Chile,SCL,N/A
CPR,Casper United States,DEN,N/A
CPT,South Africa,JNB,[HLA; JNB; WVB]
CPV,Campina Grande Brazil,REC,N/A
CPX,Culebra,SJU,[NRR; SIG]
CQD,Iran,THR,N/A
CRA,Romania,LTN,N/A
CRD,Argentina,AEP,N/A
CRI,Bahamas,NAS,N/A
CRK,Angeles City,ICN,[BSO; CRM; CYP; EUQ]
CRL,Belgium,OTP,[CCF; FNI]
CRM,Philippines,CRK,N/A
CRP,United States,DFW,N/A
CRV,Italy,BGY,N/A
CRW,Charleston United States,CLT,N/A
CRZ,Turkmenistan,ASB,[ASB; KQT]
CSA,United Kingdom,ILY,N/A
CSG,United States,ATL,N/A
CSK, Airport (CSK) is the third largest airport in Senegal,DSS,N/A
CSX,China,PEK,[DYG; HZH; SWA; WUZ]
CSY,Russian Federation,VKO,N/A
CTA,Italy,FCO,[MXP]
CTC,Argentina,AEP,N/A
CTD,Panama,PAC,N/A
CTG,Cartagena,BOG,N/A
CTL,Australia,BNE,[ULP]
CTM,Mexico,MEX,N/A
CTN,Australia,CNS,N/A
CTS,Chitose,HND,[MMB; NGO; SHB; WKJ]
CTU,Chengdu,PEK,[BPX; DCY; DLU; JZH; KGT; LXA; LZY; PZI; TNA; XIC]
CUA,Mexico,CEN,N/A
CUC,Cucuta Colombia,BOG,[TIB]
CUE,Cuenca,UIO,N/A
CUF,Italy,CAG,N/A
CUK,Belize,SPR,N/A
CUL,Mexico,MEX,N/A
CUM,Cumana Venezuela,CCS,N/A
CUN,Mexico,MEX,[CZM]
CUQ,Australia,IRG,N/A
CUR,Willemstad,BON,[AUA; BON]
CUU,Chihuahua Mexico,MEX,N/A
CUZ,Cuzco,LIM,[LIM; PIO]
CVG,United States,ORD,[PGD]
CVM,Mexico,MEX,N/A
CVN,United States,DFW,N/A
CVQ,Australia,PER,[MJK]
CVU,Portugal,HOR,N/A
CWA,/Wausau (CWA) is a smaller airport in United States,ORD,N/A
CWB,Curitiba Brazil,GRU,[APX; CAC; CBW; LAJ; MGF; PNG; PTO; PVI; TOW]
CWC,Ukraine,KBP,N/A
CWJ,China,KMG,N/A
CWL,United Kingdom,AMS,[VLY]
CXB,Cox's Bazar,DAC,N/A
CXH,Canada,YWH,[YWH; ZNA]
CXI,Kiribati,HNL,N/A
CXJ,Caxias Do Sul Brazil,CGH,N/A
CXR,Nha Trang,SGN,N/A
CYB,Cayman Islands,GCM,N/A
CYD,Belize,BCV,[BCV]
CYF,United States,KPN,N/A
CYI,Taiwan,MZG,N/A
CYO,Cuba,HAV,N/A
CYP,Calbayog City Philippines,CRK,N/A
CYS,United States,DFW,N/A
CYU,Philippines,PPS,N/A
CYX,Russian Federation,YKS,N/A
CYZ,Philippines,MNL,N/A
CZH,Corozal Belize,SPR,N/A
CZL,Constantine,ALG,N/A
CZM,Mexico,CUN,N/A
CZN,United States,ORT,N/A
CZS,Brazil,RBR,N/A
CZU,Corozal Colombia,EOH,N/A
CZX,China,CAN,N/A
DAB,United States,ATL,N/A
DAC,Dhaka,CGP,[BZL; CGP; CXB; JSR; RJH; SPD; ZYL]
DAD,Vietnam,SGN,N/A
DAL,United States,HOU,[HOU]
DAM,Syrian Arab Republic,NJF,[KAC]
DAR,Tanzania United Republic of,ZNZ,[DOD; IRI; JRO; MBI; MFA; MWZ; MYW; TBO; TKQ; ZNZ]
DAT,China,TYN,N/A
DAU,Papua New Guinea,POM,N/A
DAV,David,PAC,N/A
DAX,Dazhou China,SZX,N/A
DAY,United States,ORD,N/A
DBA,Pakistan,KHI,N/A
DBC,China,TSN,N/A
DBO,Australia,SYD,[BRK]
DBQ,United States,ORD,N/A
DBV,Croatia,ZAG,N/A
DCA,ton National (DCA) is a large airport in United States,BOS,[BOS; PVD]
DCF,Roseau,PTP,N/A
DCM,Castres France,ORY,N/A
DCY, Airport (DCY) is a smaller airport in China,CTU,N/A
DDC,United States,DEN,N/A
DDD,Kudahuvadhoo Maldives,MLE,N/A
DDG,China,PEK,N/A
DEA,Pakistan,KHI,N/A
DEB,Hungary,LTN,N/A
DEC,United States,ORD,N/A
DED,Dehra Dun India,DEL,[PGH]
DEE,United States,UUS,N/A
DEF,Iran,THR,N/A
DEL,Delhi,BOM,[AIP; AMD; ATQ; BBI; BDQ; BHO; BKB; BLR; BOM; BUP; CCU; DED; DHM; GOP; HYD; IDR; IXB; IXC; IXD; IXL; IXP; IXR; IXU; JAI; JDH; JLR; KQH; KUU; LKO; LUH; MAA; PAT; PNQ; RPR; SLV; STV; SXR; UDR; VNS]
DEM,Ethiopia,ADD,N/A
DEN,United States,LAX,[AIA; ALS; ASE; BFF; BFM; CDR; CEZ; CNY; COD; COS; CPR; DDC; DIK; DRO; EAR; EGE; GCC; GJT; GUC; HDN; HYS; IDA; JAC; LAR; LBF; LBL; MCK; MTJ; PHX; PIR; PRC; PUB; RAP; RIW; RKS; SAF; SLC; TEX; VEL; XWA]
DEX,Yahukimo Indonesia,DJJ,N/A
DFW,United States,LAX,[ABI; ACT; AMA; AUS; BPT; CLL; CRP; CVN; CYS; DRT; ELD; ELP; FSM; GCK; GGG; GLH; GRI; GRK; HOT; HRO; IAH; JLN; LAW; LBB; LIT; LRD; MAF; MFE; MHK; OKC; PIB; ROW; SAT; SHV; SJT; SPS; SWO; TUL; TUS; TXK; TYR; VCT]
DGA,Belize,BZE,N/A
DGE,Australia,SYD,N/A
DGO,Mexico,MEX,N/A
DGT,Philippines,MNL,N/A
DHG,Russian Federation,VVO,N/A
DHI,Nepal,KTM,N/A
DHM,Dharamsala India,DEL,N/A
DHN,United States,ATL,N/A
DIB,India,CCU,N/A
DIE,Antsirahana,TNR,N/A
DIG,China,KMG,N/A
DIK,United States,DEN,N/A
DIL,East Timor,DPS,N/A
DIN,Vietnam,HAN,N/A
DIR,Dire Dawa,ADD,N/A
DIU,India,BOM,N/A
DIW,Dikwella Sri Lanka,KDW,[KCT]
DIY,Turkey,SAW,N/A
DJB,Jambi Indonesia,CGK,N/A
DJE,Djerba,TUN,[NBE]
DJG,Djanet Algeria,ALG,[VVZ]
DJJ,Jayapura Indonesia,WMX,[BIK; DEX; MKQ; NBX; OKL; TIM; TMH; WMX; ZRI]
DJN,United States,FAI,N/A
DKS,Russian Federation,NSK,N/A
DLA,Cameroon,NSI,[BFX; BGF; BPC; NDJ; NGE; NSI]
DLC,Dalian China,PVG,[CHG; DOY; LYG; MDG; NDG; RIZ; TNH; TXN]
DLE,Dole France,OPO,N/A
DLG,United States,ANC,[AKN; CLP; KEK; KGK; KMO; KNW]
DLH,United States,MSP,N/A
DLI,Da Lat Vietnam,SGN,N/A
DLM,Turkey,SAW,N/A
DLR,Russian Federation,VVO,N/A
DLU,China,CTU,N/A
DLY,Dillon's Bay Vanuatu,IPA,N/A
DMB,Dzhambul Kazakhstan,TSE,N/A
DMD,Australia,ISA,[BUC]
DME,Moscow,LED,[AAQ; BAX; BER; BOJ; BQS; BTK; GBB; HTA; KSQ; LPK; NOZ; NSK; NUX; NVI; NYM; OVB; PEZ; RGK; TJU; TOF; UUA; UUD; VOZ]
DMK,Bangkok,CNX,[BFV; CEI; CJM; CNX; HDY; KBV; KKC; KOP; LOE; LPT; MAQ; NAW; NNT; NST; PHS; PRH; ROI; SNO; TST; UBP; UNN; URT; UTH]
DMM,Dammam,JED,N/A
DMU,India,CCU,N/A
DND,United Kingdom,STN,N/A
DNH,China,LHW,N/A
DNK,Dnepropetrovsk Ukraine,KBP,N/A
DNR,Dinard France,STN,N/A
DNZ,Denizli Turkey,IST,N/A
DOB,Indonesia,LUV,N/A
DOD,Tanzania United Republic of,DAR,N/A
DOH,Qatar,KWI,N/A
DOL,Deauville France,BES,N/A
DOM,Dominica,BGI,N/A
DOU,Brazil,CGH,N/A
DOY,China,DLC,N/A
DPL,Philippines,MNL,N/A
DPO,Australia,MEL,N/A
DPS,Denpasar,CGK,[CGK; DIL; LBJ; LOP; TMC; TQQ]
DPT,Russian Federation,YKS,N/A
DQA,China,PEK,N/A
DQM,Oman,MCT,N/A
DRG,United States,OTZ,[BKC]
DRK,Costa Rica,SJO,N/A
DRO,United States,DEN,N/A
DRS,Germany,MUC,N/A
DRT,United States,DFW,N/A
DRV,Dharavandhoo Island,MLE,[IFU; MLE]
DRW,Australia,SYD,[ASP; GOV; GTE; KNX; KTR; MCV; MNG]
DSA,United Kingdom,KTW,N/A
DSE,Dessie Ethiopia,ADD,N/A
DSI,United States,TPA,N/A
DSM,s International (DSM) is a bigger airport in United States,ORD,N/A
DSN,China,PKX,N/A
DSS,Dakar,ZIG,[BJL; BKO; CKY; CSK; KDA; NKC; OXB; ZIG]
DTB,Siborong-Borong Indonesia,CGK,N/A
DTM,Germany,KTW,[KTW; SZY; TZL]
DTU,Wudalianchi China,HRB,N/A
DTW,United States,ORD,[APN; BGM; ELM; ERI; ESC; MBS; MQT; PLN]
DUB,Ireland,LHR,[BHX; BOH; CAX; CFN; GLA; KIR; LBA; STN]
DUD,New Zealand,CHC,N/A
DUE,Angola,LAD,N/A
DUJ,Du Bois United States,PIT,N/A
DUM,Dumai Indonesia,PKU,N/A
DUR,South Africa,JNB,N/A
DUS,Germany,MUC,[GWT; HDF]
DUT,United States,ANC,N/A
DVL,United States,JMS,[JMS]
DVO,Davao,MNL,N/A
DWC,United Arab Emirates,SVO,N/A
DWD,Saudi Arabia,RUH,N/A
DWO,Colombo,CMB,[KDW]
DXB,United Arab Emirates,KWI,[BAH; BEY; CCJ; KBL; KWI; MCT; MUX; PEW; SKT]
DYG,China,CSX,[HNY]
DYR,Anadyr Russian Federation,VKO,N/A
DYU,Tajikistan,VKO,N/A
DZA,Comoros,AJN,[MJN]
DZN,Kazakhstan,TSE,N/A
EAE,Siwo Vanuatu,VLI,N/A
EAM,Saudi Arabia,RUH,N/A
EAR,United States,DEN,N/A
EAS,Spain,MAD,N/A
EAT,Wenatchee United States,SEA,N/A
EAU,Eau Claire United States,ORD,N/A
EBB,Uganda,NBO,[JUB; KGL; KSE; RUA]
EBD,Sudan,KRT,N/A
EBJ,Denmark,ABZ,N/A
EBL,Iraq,IST,N/A
EBO,Germany,UIT,N/A
ECI,Tola,LIR,N/A
ECN,Nicosia,SAW,N/A
ECP,United States,ATL,N/A
EDA,United States,KTN,[NKI]
EDI,United Kingdom,LHR,[EMA]
EDL,Kenya,NBO,[LOK]
EDN,Russian Federation,NEI,N/A
EDO,Turkey,SAW,N/A
EDR,Pormpuraaw Australia,CNS,N/A
EEK,United States,WTL,[KWN]
EFL,Greece,ATH,N/A
EGC,Bergerac France,SOU,N/A
EGE,Vail United States,DEN,N/A
EGM,Solomon Islands,HIR,[RBV]
EGN,Sudan,KRT,N/A
EGO,Russian Federation,SVO,N/A
EGS,Egilsstaoir,RKV,N/A
EIN,Netherlands,AGP,N/A
EIS,British Virgin Islands,SJU,[SJU]
EJA,Barrancabermeja Colombia,BOG,N/A
EJH,Saudi Arabia,JED,N/A
EJN,Ejina Banner China,AXF,N/A
EJT,Mili Atoll Marshall Islands,MIJ,N/A
EKO,United States,SLC,N/A
EKS,Russian Federation,UUS,N/A
ELC,Australia,MNG,N/A
ELD,El Dorado United States,DFW,N/A
ELF,Sudan,KRT,N/A
ELG,Algeria,OGX,N/A
ELH,Bahamas,NAS,N/A
ELI,United States,GLV,N/A
ELM, Rgnl (ELM) is a smaller airport in United States,DTW,N/A
ELP,United States,DFW,N/A
ELQ,Buraydah Saudi Arabia,JED,N/A
ELS,South Africa,JNB,N/A
ELU,El Oued Algeria,ALG,N/A
ELV,United States,JNU,N/A
EMA,United Kingdom,EDI,N/A
EMD,Australia,BNE,N/A
EMK,United States,AUK,[KOT]
EMR,Guatemala,FRS,N/A
ENA,United States,ANC,N/A
ENE,Ende Indonesia,KOE,N/A
ENH,China,WUH,N/A
ENI,Philippines,MNL,N/A
ENT,Marshall Islands,KWA,N/A
ENU,Nigeria,LOS,N/A
ENY,China,XIY,N/A
EOH,Medellin,UIB,[APO; BSC; CZU; TLU; UIB]
EPA,Argentina,SCL,N/A
EPR,Australia,PER,N/A
EQS,Argentina,AEP,N/A
ERC,Turkey,SAW,N/A
ERG,Russian Federation,IKT,N/A
ERH,Er Rachidia Morocco,CMN,N/A
ERI,United States,DTW,N/A
ERL,China,HET,N/A
ERN,Eirunepe Brazil,TFF,N/A
ERS,Windhoek,OND,[LUD; MPA; NDU; OMD; OND]
ERZ,Turkey,SAW,N/A
ESB,Ankara,SAW,[CKZ; NKT; TEQ; YEI]
ESC,Escanaba United States,DTW,N/A
ESD,Eastsound United States,BFI,N/A
ESL,Russian Federation,VKO,N/A
ESM,Tachina Ecuador,UIO,N/A
ESU,Morocco,CMN,N/A
ETL,Russian Federation,NEI,N/A
ETM,Eilat,TLV,[HFA]
ETR,Santa Rosa Ecuador,UIO,N/A
ETZ, (ETZ) is a smaller airport in France,LYS,N/A
EUA,Eua,TBU,N/A
EUG,Eugene United States,SEA,N/A
EUN,Morocco,CMN,N/A
EUQ,Antique Philippines,CRK,N/A
EUX,Oranjestad,SXM,N/A
EVE,Norway,OSL,N/A
EVG,Sweden,ARN,N/A
EVN,Yerevan,SVO,N/A
EVV,United States,ORD,N/A
EWB,United States,ACK,N/A
EWN,New Bern United States,CLT,N/A
EWR,United States,MCO,[PBI; PQI; VRB]
EXI,United States,JNU,N/A
EXT,United Kingdom,MAN,N/A
EYK,Russian Federation,NYA,[NYA; OVS]
EYP,Yopal Colombia,BOG,N/A
EYW,United States,ATL,N/A
EZE,Buenos Aires,GRU,[ASU]
EZS,Turkey,SAW,N/A
FAC,French Polynesia,PPT,N/A
FAE,Torshavn,CPH,N/A
FAH,Afghanistan,KBL,N/A
FAI,United States,ANC,[AET; AKP; DJN; FYU; GAL; HUS; KBC; LMA; RBY; SVS; TAL]
FAO,Portugal,LGW,N/A
FAR,Fargo United States,MSP,N/A
FAT,United States,LAX,N/A
FAV,French Polynesia,PPT,[NIU]
FAY,United States,CLT,N/A
FBD,Afghanistan,KBL,N/A
FBM,Congo,JNB,[FMI]
FBS,United States,LKE,[LKE]
FCA,Kalispell United States,SEA,N/A
FCO,Rome,LIN,[AHO; BDS; BRI; CAG; CTA; GOA; LIN; MLA; PMO; PNL; PSA; REG; TIA; TPS; TRN; TRS; VRN]
FDE,eland (FDE) is a smaller airport in Norway,OSL,N/A
FDF,Fort-De-France,PTP,[PTP]
FDH,Germany,FRA,N/A
FEC,Feira De Santana Brazil,REC,N/A
FEG,Uzbekistan,TAS,N/A
FEN,Brazil,REC,N/A
FEZ,Fez,ORY,N/A
FIE,Scotland,LWK,[LWK]
FIH,Congo,NBO,[GOM; KGA; KND; MDK; MJM]
FIZ, Airport (FIZ) is a smaller airport in Australia,BME,[HCQ]
FKB,tions with 6 airlines in scheduled passenger traffic,STN,N/A
FKI, (FKI) is a smaller airport in Congo,KND,[IRP]
FKQ,Fakfak Indonesia,SOQ,N/A
FKS,Japan,ITM,N/A
FLA,Florencia Colombia,BOG,[LQM]
FLG,United States,PHX,N/A
FLL,United States,ATL,[ACY; BIM; IAG; MHH; TCB; USA]
FLN,Florianopolis Brazil,GRU,N/A
FLO,United States,CLT,N/A
FLR,Firenze Italy,CDG,N/A
FLS,Australia,LST,N/A
FLW,Flores Island (Azores) Portugal,HOR,N/A
FLZ,Sibolga Indonesia,KNO,N/A
FMA,Argentina,AEP,N/A
FMI,Congo,FBM,[BKY]
FMM,Memmingen Germany,SBZ,N/A
FMO,Muenster Germany,MUC,[GRQ]
FNA,Sierra Leone,ROB,N/A
FNC,Funchal,LIS,[PXO]
FNI,Nimes France,CRL,N/A
FNJ,North Korea,PEK,N/A
FNT,Flint United States,ORD,N/A
FOA,United Kingdom,LWK,N/A
FOC,Fuzhou China,PEK,N/A
FOD,United States,STL,N/A
FOG,Foggia Italy,TQR,[TQR]
FON,Costa Rica,LIR,[TTQ]
FOR,Brazil,GRU,N/A
FPO,Freeport,NAS,N/A
FRA,(FRA) is the largest airport in Germany,TXL,[BUD; FDH; LEJ; LJU; LNZ; NUE; SZG; TXL; VIE; ZAG]
FRC,Brazil,CGH,N/A
FRD,United States,BFI,[BFI]
FRE,Solomon Islands,HIR,N/A
FRO,Norway,BGO,N/A
FRS,Flores,GUA,[EMR]
FRU,Bishkek,OSS,[JAA; OSS]
FRW,Botswana,GBE,N/A
FSC,France,MRS,N/A
FSD,United States,ORD,N/A
FSM,United States,DFW,N/A
FSP,Saint-Pierre,YHZ,N/A
FSZ,Japan,FUK,N/A
FTA,Vanuatu,TAH,[AWD]
FTE,Argentina,AEP,N/A
FTI,American Samoa,PPG,[PPG]
FTU,Madagascar,TNR,N/A
FUE,Fuerteventura Spain,LPA,N/A
FUG,China,HAK,N/A
FUJ,Japan,FUK,N/A
FUK,Japan,HND,[AXJ; FSZ; FUJ; HND; MMJ; NKM; TSJ]
FUN,Tuvalu,SUV,N/A
FUO,China,KMG,[XAI]
FUT,Pointe Vele,WLS,[WLS]
FVM,Fuvahmulah Island Maldives,GAN,N/A
FWA,United States,ORD,N/A
FYJ,Fuyuan County China,HRB,N/A
FYN,China,URC,N/A
FYT,Faya-Largeau,NDJ,[AEH]
FYU,United States,FAI,[CIK]
GAF,Tunisia,TUN,N/A
GAJ,Japan,ITM,N/A
GAL,Galena United States,FAI,[KAL; KYU; NUL]
GAM,United States,OME,N/A
GAN,Addu City,MLE,[FVM]
GAO,Guantanamo Cuba,HAV,N/A
GAU,Guwahati India,CCU,[IMF; IXT; TEZ]
GAY,India,VNS,N/A
GBB,Azerbaijan,DME,N/A
GBE,Gaborone,JNB,[FRW]
GBI,Grand Bahama Bahamas,BLR,N/A
GBT,Iran,THR,N/A
GCC,United States,DEN,N/A
GCH,Iran,THR,N/A
GCI,Guernsey,JER,[ACI; JER; SOU]
GCK,United States,DFW,N/A
GCM,George Town,MIA,[CYB; LYB]
GCN,United States,PGA,[GCT]
GCT,Grand Canyon United States,GCN,N/A
GCW,Peach Springs United States,BLD,N/A
GDE,Ethiopia,JIJ,N/A
GDL,Guadalajara,MEX,[MEX]
GDN,Gdansk,WAW,[NYO]
GDQ,Gondar Ethiopia,ADD,N/A
GDT,Cockburn Town,PLS,[PLS; SLX]
GDV,Glendive United States,BIL,N/A
GDX,Magadan Russian Federation,KHV,[KPW; SWV]
GDZ,Gelendzhik Russia,SVO,N/A
GEA,New Caledonia,LIF,[ILP; KNQ; LIF; MEE; UVE]
GEG,United States,SEA,N/A
GEL,Brazil,POA,N/A
GEM,Mengomeyén,SSG,N/A
GEO,Georgetown,POS,N/A
GER,Nueva Gerona Cuba,HAV,N/A
GES,General Santos City Philippines,MNL,N/A
GET,Australia,PER,N/A
GEV,Sweden,AJR,N/A
GFF,Australia,SYD,[NRA]
GFK,United States,MSP,N/A
GFN,Australia,LSY,[LSY]
GGG,Longview United States,DFW,N/A
GGR,Somalia,ADD,N/A
GGT,Bahamas,NAS,N/A
GGW,United States,BIL,N/A
GHA,Ghardaia Algeria,ALG,N/A
GHB,Governor's Harbour Bahamas,NAS,N/A
GHS,Melak Indonesia,BPN,N/A
GHT,Libyan Arab Jamahiriya,TIP,N/A
GIB,Gibraltar,LHR,N/A
GIC,Boigu Island Australia,SBR,N/A
GIG,Rio De Janeiro Brazil,GRU,[CAW; SJK]
GIL,Pakistan,ISB,N/A
GIS,New Zealand,AKL,N/A
GIU,Sri Lanka,TRR,[TRR]
GIZ,Gizan Saudi Arabia,RUH,N/A
GJL,Algeria,ALG,N/A
GJT,United States,DEN,N/A
GKA,Papua New Guinea,POM,N/A
GKK,Maldives,MLE,N/A
GLA,United Kingdom,DUB,[BEB; BRR; CAL; ILY; SYY; TRE]
GLF,Costa Rica,SJO,N/A
GLH,Greenville United States,DFW,N/A
GLK,Somalia,MGQ,N/A
GLN,Morocco,TTA,N/A
GLT,Australia,BNE,N/A
GLU,Bhutan,PBH,N/A
GLV,United States,WMO,[ELI]
GLX,Galela Indonesia,MDC,N/A
GMB,Ethiopia,ADD,[ASO]
GME,Belarus,KGD,N/A
GMO,Nigeria,ABV,N/A
GMP,Seoul,CJU,[CJU; HIN; PUS; RSU; USN]
GMQ,Airport (GMQ) is a smaller airport in China,XNN,N/A
GMR,French Polynesia,PPT,N/A
GMZ,San Sebastian De La Gomera Spain,TFN,N/A
GNB,Grenoble France,STN,N/A
GND,St,POS,N/A
GNS,Indonesia,KNO,N/A
GNU,Goodnews Bay United States,PTU,N/A
GNV,United States,ATL,N/A
GNY,Golgen Turkey,IST,N/A
GOA,Genoa Italy,FCO,N/A
GOB,Robe Ethiopia,ADD,N/A
GOH,Godthaab,SFJ,[JFR; SFJ; UAK]
GOI,India,BOM,N/A
GOJ,Nizhniy Novgorod Russian Federation,SVO,N/A
GOM,Congo,FIH,[BNC]
GOP,India,DEL,N/A
GOQ,China,HXD,[HXD]
GOT,Gothenburg,BMA,[CBG]
GOU,Cameroon,NSI,[MVR]
GOV,Australia,DRW,N/A
GPA,Patras Greece,CFU,N/A
GPB,Guarapuava Brazil,VCP,N/A
GPI,Colombia,CLO,N/A
GPS,Ecuador,GYE,N/A
GPT,United States,ATL,N/A
GRB,Green Bay United States,ORD,N/A
GRI,Grand Island United States,DFW,N/A
GRJ,South Africa,JNB,N/A
GRK,Killeen United States,DFW,N/A
GRO,Gerona Spain,PSA,N/A
GRQ,Groningen,FMO,N/A
GRR,Grand Rapids United States,ORD,N/A
GRU,Sao Paulo,POA,[AJU; BEL; BPS; CGB; CGR; CWB; EZE; FLN; FOR; GIG; GYN; IGU; JDO; JJD; JOI; JPA; JTC; MAO; MCZ; NAT; PNZ; POA; RAO; REC; SLZ; SSA; VIX; XAP]
GRV,Russian Federation,VKO,N/A
GRW,Santa Cruz da Graciosa Azores,TER,N/A
GRX,Spain,BCN,N/A
GRY,Iceland,AEY,N/A
GRZ,Austria,MUC,N/A
GSM,Qeshm Island Iran,THR,N/A
GSO,Greensboro United States,CLT,N/A
GSP,United States,ATL,N/A
GST,United States,JNU,N/A
GSV,Airport (GSV) is an airport in Russian Federation,SVO,N/A
GTE,Angurugu Australia,DRW,N/A
GTF,United States,SLC,N/A
GTO,Gorontalo Indonesia,UPG,N/A
GTR,United States,ATL,N/A
GTS,Australia,PER,N/A
GTZ,Grumeti Game Reserve United Republic of Tanzania,SEU,N/A
GUA,Guatemala City,SAL,[FRS; PBR]
GUB,Mexico,HMO,N/A
GUC,United States,DEN,N/A
GUM,Tamuning,ICN,[ROR; YAP]
GUO,Somalia,MGQ,N/A
GUR,Papua New Guinea,POM,[LSA; MIS]
GUW,Kazakhstan,SCO,[SCO]
GVA,rin (GVA) is the second largest airport in Switzerland,LHR,N/A
GVR,Brazil,CNF,N/A
GWD,Pakistan,KHI,N/A
GWL,India,HYD,N/A
GWT,Germany,DUS,[KSF]
GXH,China,LXA,N/A
GYA,Guayaramerin Bolivia,TDD,N/A
GYD,Baku,IST,N/A
GYE,Guayaquil,UIO,[GPS; SCY; UIO]
GYG,Russian Federation,ADH,[ADH]
GYM,Guaymas Mexico,HMO,N/A
GYN,Goiania Brazil,GRU,[BPG; PMW]
GYS,China,KWE,N/A
GYU,China,INC,N/A
GZO,Gizo,HIR,[BAS; CHY; HIR; MNY]
GZP,Alanya Turkey,IST,N/A
GZT,Gaziantep Turkey,IST,N/A
HAA,Norway,HFT,N/A
HAC,Japan,HND,N/A
HAD,Sweden,BMA,N/A
HAH,Comoros,AJN,[AJN; NWA]
HAJ,Hanover Germany,MUC,N/A
HAK,Haikou China,CAN,[FUG; JGS]
HAM,Germany,MUC,[MHG]
HAN,Hanoi,SGN,[DIN; SGN; VCA]
HAQ,Maldivian,MLE,N/A
HAS,Ha'il Saudi Arabia,RUH,N/A
HAU,Norway,OSL,N/A
HAV,Havana,MIA,[CYO; GAO; GER]
HBA,Australia,MEL,[SRN]
HBE,Alexandria,JED,[BEN; TOB]
HBQ,China,XNN,N/A
HBX,India,BLR,N/A
HCQ,Australia,FIZ,N/A
HCR,United States,ANI,[ANV]
HDF,Germany,DUS,N/A
HDG,China,PVG,N/A
HDM,Iran,THR,N/A
HDN,Hayden United States,DEN,N/A
HDS,South Africa,JNB,N/A
HDY,Songkhla Thailand,DMK,N/A
HEA,Afghanistan,KBL,N/A
HEH,Myanmar,RGN,[KET; LSH; MOG; THL]
HEK,China,HRB,N/A
HEL,Finland,ARN,[ARN; IVL; JOE; JYV; KAO; KEM; KOK; KTT; KUO; OUL; POR; RVN; SVL; TAY; TMP; VAA]
HER,Heraklion,ATH,N/A
HET,China,CIF,[AXF; CIF; ERL; HLD; HLH; LFQ; NZH; NZL; RLK; TGO; WUA; XIL]
HEW,kon Airport (HEW) is a smaller airport in Greece,DEQ,N/A
HFA,Israel,ETM,N/A
HFE,Hefei China,KMG,N/A
HFT,Norway,TOS,[BVG; HAA; HVG]
HGA,Somalia,ADD,N/A
HGD,Australia,RCM,[RCM]
HGH,Hangzhou China,CAN,[HUZ; JNZ; LYI; SJW; YCU]
HGN,Thailand,CNX,N/A
HGO,Cote d'Ivoire,ABJ,N/A
HGR,United States,SFB,N/A
HGU,Papua New Guinea,POM,[MXH; WBM]
HHH,United States,CLT,N/A
HHN,Germany,CIA,N/A
HHQ,Airport (HHQ) is a smaller airport in Thailand,KUL,N/A
HHR,United States,PHX,N/A
HIA,China,TAO,N/A
HIB, (HIB) is a smaller airport in United States,MSP,N/A
HID,Australia,CNS,[KUG; OKR; SYU; XMY]
HIJ,Japan,HND,N/A
HIN,South Korea,GMP,N/A
HIR,Solomon Islands,GZO,[AKS; BNY; EGM; FRE; GZO; IRA; KGE; LLM; MUA; PRS; RNA; RNL; RUS; SCZ; VAO]
HJJ,China,XIY,N/A
HJR,India,VNS,N/A
HKB,United States,TKJ,[TKJ]
HKD,Japan,HND,[OIR; OKD]
HKG,Hong Kong,TPE,[PVG; TPE]
HKK,New Zealand,CHC,N/A
HKN,Hoskins,LAE,N/A
HKR,Maasai Mara Kenya,KTJ,[MRE]
HKT,Thailand,BKK,[BKK]
HLA,Johannesburg,CPT,N/A
HLD,Hailar China,HET,[YIE]
HLE,Jonestown,JNB,N/A
HLH,China,HET,N/A
HLN,United States,SLC,N/A
HLP,Jakarta Indonesia,SUB,[TSY]
HLZ,New Zealand,WLG,N/A
HMA,Khanty-Mansiysk Russian Federation,VKO,[URJ]
HMB,Egypt,KWI,N/A
HME,Hassi Messaoud Algeria,ALG,N/A
