Code,Location,Parent,Children
ANU,St,MNI,[MNI]
ANV,United States,HCR,[KGX]
ANX,Norway,BOO,N/A
AOE,Eskisehir Turkey,OST,N/A
AOG,China,PVG,N/A
AOI,Ancona Italy,MUC,N/A
AOJ,Japan,HND,N/A
AOK,Greece,ATH,[KSJ]
AOO,United States,PIT,N/A
AOQ,Greenland,JUV,N/A
AOR,Alor Setar Malaysia,SZB,N/A
AOS,United States,KZB,N/A
APK,French Polynesia,PPT,N/A
APL,Mozambique,MPM,[VXC]
APN,United States,DTW,N/A
APO,Colombia,EOH,N/A
APW,Samoa,AKL,N/A
APX,Brazil,CWB,N/A
AQA,Brazil,VCP,N/A
AQG,China,KWL,N/A
AQI,Saudi Arabia,RUH,N/A
AQJ,Jordan,AMM,N/A
AQP,Arequipa,LIM,N/A
ARC,United States,VEE,[VEE]
ARD,Indonesia,KOE,N/A
ARH,Arkhangelsk Russian Federation,SVO,[KSZ; NNM]
ARI,Arica Chile,SCL,N/A
ARK,Tanzania United Republic of,LKY,[SEU]
ARM,Australia,SYD,N/A
ARN,Stockholm,HEL,[AJR; EVG; HEL; JKG; KRN; KSD; LLA; LYC; MHQ; OSD; SFT; TKU; TLL; UME]
ART,United States,PHL,N/A
ARU,Brazil,VCP,N/A
ARX,United States,REC,N/A
ASB,Ashkhabad,CRZ,[BKN; CRZ; KRW; MYP; TAZ]
ASE,County Sardy Field (ASE) is a smaller airport in United States,DEN,N/A
ASF,Russian Federation,SVO,N/A
ASJ,Japan,KOJ,[KKX; RNJ]
ASM,Eritrea,ADD,N/A
ASO,Ethiopia,GMB,N/A
ASP,s (ASP) is a smaller airport in Australia,DRW,[TCA]
ASR,Kayseri Turkey,SAW,N/A
ASS,Chitwa Chitwa South Africa,MQP,[LDZ]
ASU,Asuncion,EZE,[AGT]
ASV,Kenya,WIL,N/A
ASW,Egypt,CAI,[ABS]
ATD,Solomon Islands,MHM,[MHM]
ATH,Athens,JTR,[AOK; AXD; CFU; CHQ; EFL; HER; IOA; JIK; JKH; JKL; JMK; JNX; JSH; JSI; JSY; JTR; JTY; KGS; KIT; KSO; KVA; LCA; LRS; LXS; MJT; MLO; PAS; RHO; SKG; SKU; SMI; ZTH]
ATK,United States,BRW,[BRW]
ATL,United States,LGA,[ABY; AEX; AGS; BHM; BQK; BWI; CHA; CLT; CSG; DAB; DHN; ECP; EYW; FLL; GNV; GPT; GSP; GTR; HPN; HSV; IAD; JAN; JAX; MCO; MEM; MGM; MIA; MLB; MLU; MOB; MSL; MSY; PNS; RDU; RIC; RSW; SAV; SRQ; TLH; TPA; TRI; VLD; VPS]
ATM,Brazil,BEL,[ITB]
ATQ,India,DEL,N/A
ATT,United States,BET,[NUP]
ATW,United States,ORD,N/A
ATY,United States,ORD,N/A
ATZ,Egypt,KWI,N/A
AUA,Oranjestad,CUR,[LSP]
AUC,Arauca Colombia,BOG,N/A
AUG,United States,BOS,N/A
AUH,United Arab Emirates,BAH,[ZDY]
AUK,United States,SXP,[EMK]
AUQ,French Polynesia,NHV,[NHV]
AUR,France,ORY,N/A
AUS,United States,DFW,[TSM]
AUU,Australia,CNS,[IRG]
AUX,Brazil,BSB,N/A
AUY,Vanuatu,TAH,N/A
AVA,China,NKG,N/A
AVL,United States,CLT,[PIE; SFB]
AVP,United States,CLT,N/A
AVV,Australia,SYD,N/A
AWA,Ethiopia,ADD,N/A
AWD,Vanuatu,FTA,N/A
AWZ,Iran,THR,N/A
AXA,The Valley,SXM,N/A
AXD,Alexandroupolis Greece,ATH,N/A
AXF,China,HET,[EJN; RHT]
AXJ,Japan,FUK,N/A
AXM,Armenia Colombia,BOG,N/A
AXP, (AXP) is a smaller airport in Bahamas,NAS,N/A
AXR,French Polynesia,KKR,N/A
AXT,Japan,HND,N/A
AXU,Ethiopia,ADD,N/A
AYP,Ayacucho Peru,LIM,N/A
AYQ,Uluru Australia,SYD,N/A
AYT,Turkey,SAW,N/A
AYX,Tullahoma United States,LIM,N/A
AZA,United States,PVU,[OGD; PVU; RFD; STC]
AZD,Iran,THR,N/A
AZO,United States,ORD,N/A
AZR,Adrar Algeria,ALG,[BMW]
AZS,Samana Dominican Republic,YUL,N/A
BAH,Muharraq,DXB,[AUH]
BAL,Turkey,IST,N/A
BAQ,Barranquilla Colombia,BOG,N/A
BAR,China,CKG,N/A
BAS,Solomon Islands,GZO,N/A
BAT,Brazil,CGH,N/A
BAV,China,PEK,N/A
BAX,Russian Federation,DME,N/A
BAY,Baia Mare Romania,OTP,N/A
BAZ,Brazil,MAO,N/A
BBA,Chile,SCL,N/A
BBI,Bhubaneswar India,DEL,[JRG]
BBK,Botswana,JNB,N/A
BBL,Australia,MOO,N/A
BBN,Malaysia,MYY,N/A
BCD,Philippines,MNL,N/A
BCI,Australia,LRE,N/A
BCM,Romania,LTN,N/A
BCN,Spain,MAD,[CDG; GRX; LEN; LGW; MAD; PMI; RGS; SVQ; VLL]
BCO,Baco Ethiopia,ADD,N/A
BCU,Nigeria,ABV,N/A
BCV,Belmopan Belize,CYD,[CYD]
BDA,Bermuda,JFK,N/A
BDB,Australia,BNE,N/A
BDD,Australia,KUG,[UBB]
BDH,Iran,SYZ,N/A
BDJ,Banjarmasin Indonesia,CGK,[KBU]
BDL,Windsor Locks United States,MCO,N/A
BDO,Bandung Indonesia,SUB,N/A
BDP,Nepal,KTM,N/A
BDQ,Baroda India,DEL,N/A
BDS,Brindisi Italy,FCO,N/A
BDU,Norway,OSL,N/A
BEB,Balivanich Scotland,GLA,N/A
BEF,Nicaragua,MGA,[RNI]
BEG,Beograd,TGD,[BNX; TGD; TIV]
BEJ,Kalimarau Indonesia,BPN,N/A
BEL,Belem Brazil,GRU,[ATM; BVS; MCP; STM]
BEM,Morocco,CMN,N/A
BEN,Benghazi,HBE,[AKF; SEB; ZIS]
BER,Germany,DME,N/A
BES,Brest France,ORY,[DOL]
BET,United States,ANC,[ATT; KPN; KWK; PKA; PQS; PTU; RSH; SCM; TLT; TNK; WTL; WWT]
BEU,Australia,BQL,[BQL; BVI]
BEW,Mozambique,MPM,N/A
BEY,Lebanon,DXB,N/A
BFD,United States,PIT,N/A
BFF,Scottsbluff United States,DEN,N/A
BFI,Seattle United States,FRD,[ESD; FRD]
BFJ,China,KWE,N/A
BFL,Bakersfield United States,PHX,N/A
BFM,United States,DEN,N/A
BFN,South Africa,JNB,N/A
BFQ,s (BFQ) is a smaller airport in Panama,JQE,N/A
BFS,Belfast United Kingdom,LGW,[LPL]
BFV,Buriram Thailand,DMK,N/A
BFX,Cameroon,DLA,N/A
BGA,Bucaramanga Colombia,BOG,[RVE]
BGC,Portugal,VRL,[VRL]
BGF,Central African Republic,DLA,N/A
BGG,Turkey,IST,N/A
BGI,Bridgetown,SVD,[DOM; OGL; SLU; SVD]
BGM,hamton Edwin A Link Fld (BGM) is a smaller airport in United States,DTW,N/A
BGN,Germany,YKS,N/A
BGO,Norway,OSL,[FRO; KRS; KSU; NTB; TRF]
BGR,United States,PHL,N/A
BGW,Iraq,IST,[BSR; ISU]
BGX,Bage Brazil,POA,N/A
BGY,Italy,STN,[CRV; PSR; VIT]
BHB,United States,BOS,N/A
BHD,Belfast United Kingdom,LHR,N/A
BHE,New Zealand,WLG,N/A
BHH,Saudi Arabia,RUH,N/A
